id,part_number,name,description,category,subcategory,manufacturer,manufacturer_part_number,supplier_id,unit_of_measure,unit_cost,stock_quantity,reserved_quantity,min_stock_level,max_stock_level,reorder_point,reorder_quantity,lead_time_days,storage_location,bin_location,barcode,weight,dimensions,hazmat_classification,shelf_life_days,warranty_period_days,last_counted_date,abc_classification,usage_rate_monthly,ai_demand_forecast,ai_optimal_stock,price_history,supplier_alternates,compatible_assets,created_date,updated_date
23,TF-MEC-GAS-0023,Mitsubishi Gaskets 568,High-quality gaskets for industrial applications,Mechanical,Gaskets,Mitsubishi,MIT87560,2,FT,80.87,86,FALSE,86,17,170,34,51,19,Chemical Storage,Chemical Storage-A08,TF571175286845,,,,,,,A,3.82,{},,[],[],[],2025-09-28 13:39:07.701799,2025-09-28 18:39:07
24,TF-MEC-GAS-0024,Parker Hannifin Gaskets 942,High-quality gaskets for industrial applications,Mechanical,Gaskets,Parker Hannifin,PAR19366,4,LB,389.27,79,FALSE,79,9,97,19,29,6,Warehouse B-1,Warehouse B-1-B17,TF480748682486,,,,,,,C,28.57,{},,[],[],[],2025-09-28 13:39:07.701810,2025-09-28 18:39:07
25,TF-MEC-GAS-0025,GE Gaskets 875,High-quality gaskets for industrial applications,Mechanical,Gaskets,GE,GE17145,3,LB,270.84,70,FALSE,70,19,190,38,57,9,Warehouse B-2,Warehouse B-2-C14,TF702014745772,,,,,,,C,34.3,{},,[],[],[],2025-09-28 13:39:07.701822,2025-09-28 18:39:07
26,TF-MEC-GAS-0026,Omron Gaskets 136,High-quality gaskets for industrial applications,Mechanical,Gaskets,Omron,OMR21655,5,ROLL,17.05,44,FALSE,44,14,141,28,42,14,Warehouse A-1,Warehouse A-1-C10,TF742775693688,,,,,,,B,42.2,{},,[],[],[],2025-09-28 13:39:07.701833,2025-09-28 18:39:07
27,TF-MEC-GAS-0027,Johnson Controls Gaskets 711,High-quality gaskets for industrial applications,Mechanical,Gaskets,Johnson Controls,JOH80748,5,BOX,49.42,39,FALSE,39,10,107,21,32,12,Warehouse A-1,Warehouse A-1-B03,TF521243072213,,,,,,,A,34.28,{},,[],[],[],2025-09-28 13:39:07.701845,2025-09-28 18:39:07
28,TF-MEC-O-R-0028,ABB O-Rings 714,High-quality o-rings for industrial applications,Mechanical,O-Rings,ABB,ABB27232,4,EA,449.07,47,FALSE,47,10,106,21,31,20,Warehouse B-2,Warehouse B-2-A08,TF325429582000,,,,,,,A,43.04,{},,[],[],[],2025-09-28 13:39:07.701856,2025-09-28 18:39:07
29,TF-MEC-O-R-0029,Pepperl+Fuchs O-Rings 280,High-quality o-rings for industrial applications,Mechanical,O-Rings,Pepperl+Fuchs,PEP21937,3,LB,90.34,101,FALSE,101,14,149,29,44,16,Warehouse A-1,Warehouse A-1-C05,TF897154772637,,,,,,,C,2.15,{},,[],[],[],2025-09-28 13:39:07.701868,2025-09-28 18:39:07
30,TF-MEC-O-R-0030,Phoenix Contact O-Rings 523,High-quality o-rings for industrial applications,Mechanical,O-Rings,Phoenix Contact,PHO62511,TRUE,EA,313.49,129,FALSE,129,13,137,27,41,14,Maintenance Shop,Maintenance Shop-C17,TF765647300256,,,,,,,A,30.47,{},,[],[],[],2025-09-28 13:39:07.701881,2025-09-28 18:39:07
31,TF-MEC-O-R-0031,Balluff O-Rings 542,High-quality o-rings for industrial applications,Mechanical,O-Rings,Balluff,BAL71189,4,FT,248.43,37,FALSE,37,7,78,15,23,15,Warehouse B-2,Warehouse B-2-B07,TF795287661573,,,,,,,C,30.37,{},,[],[],[],2025-09-28 13:39:07.701893,2025-09-28 18:39:07
32,TF-MEC-O-R-0032,Parker Hannifin O-Rings 151,High-quality o-rings for industrial applications,Mechanical,O-Rings,Parker Hannifin,PAR40560,TRUE,LB,274.27,13,FALSE,13,7,78,15,23,5,Warehouse B-2,Warehouse B-2-B08,TF308979638566,,,,,,,C,30.15,{},,[],[],[],2025-09-28 13:39:07.701904,2025-09-28 18:39:07
33,TF-MEC-O-R-0033,Parker Hannifin O-Rings 175,High-quality o-rings for industrial applications,Mechanical,O-Rings,Parker Hannifin,PAR19084,2,ROLL,218.46,45,FALSE,45,4,46,9,13,7,Warehouse A-2,Warehouse A-2-C13,TF262706296446,,,,,,,B,11.06,{},,[],[],[],2025-09-28 13:39:07.701916,2025-09-28 18:39:07
34,TF-MEC-O-R-0034,Festo O-Rings 555,High-quality o-rings for industrial applications,Mechanical,O-Rings,Festo,FES93726,3,FT,50.01,86,FALSE,86,16,169,33,50,13,Warehouse A-1,Warehouse A-1-C07,TF534752115069,,,,,,,B,37.3,{},,[],[],[],2025-09-28 13:39:07.701927,2025-09-28 18:39:07
35,TF-MEC-SPR-0035,GE Springs 935,High-quality springs for industrial applications,Mechanical,Springs,GE,GE89249,4,GAL,401.53,130,FALSE,130,20,200,40,60,5,Warehouse A-1,Warehouse A-1-B06,TF129514945507,,,,,,,B,14.89,{},,[],[],[],2025-09-28 13:39:07.701939,2025-09-28 18:39:07
36,TF-MEC-SPR-0036,Emerson Springs 912,High-quality springs for industrial applications,Mechanical,Springs,Emerson,EME68932,3,ROLL,68.29,66,FALSE,66,13,136,27,40,21,Warehouse A-1,Warehouse A-1-A20,TF774142358652,,,,,,,C,48.44,{},,[],[],[],2025-09-28 13:39:07.701950,2025-09-28 18:39:07
37,TF-MEC-SPR-0037,Honeywell Springs 457,High-quality springs for industrial applications,Mechanical,Springs,Honeywell,HON46047,4,GAL,278.02,35,FALSE,35,5,58,11,17,19,Warehouse A-2,Warehouse A-2-B14,TF688424225793,,,,,,,A,30.46,{},,[],[],[],2025-09-28 13:39:07.701961,2025-09-28 18:39:07
38,TF-MEC-SPR-0038,Schneider Electric Springs 945,High-quality springs for industrial applications,Mechanical,Springs,Schneider Electric,SCH63488,4,ROLL,105.17,19,FALSE,19,9,96,19,28,4,Warehouse A-1,Warehouse A-1-C08,TF973574571092,,,,,,,B,42.13,{},,[],[],[],2025-09-28 13:39:07.701973,2025-09-28 18:39:07
39,TF-MEC-SPR-0039,Parker Hannifin Springs 611,High-quality springs for industrial applications,Mechanical,Springs,Parker Hannifin,PAR29460,TRUE,EA,339.78,6,FALSE,6,6,63,12,18,3,Tool Crib,Tool Crib-A06,TF871800313044,,,,,,,C,9.85,{},,[],[],[],2025-09-28 13:39:07.701984,2025-09-28 18:39:07
40,TF-MEC-FAS-0040,Parker Hannifin Fasteners 758,High-quality fasteners for industrial applications,Mechanical,Fasteners,Parker Hannifin,PAR67716,4,EA,459.95,59,FALSE,59,13,138,27,41,9,Warehouse A-2,Warehouse A-2-C05,TF334732135029,,,,,,,B,11.25,{},,[],[],[],2025-09-28 13:39:07.701998,2025-09-28 18:39:07
41,TF-MEC-FAS-0041,Emerson Fasteners 985,High-quality fasteners for industrial applications,Mechanical,Fasteners,Emerson,EME60518,5,LB,18.1,51,FALSE,51,11,118,23,35,7,Warehouse B-2,Warehouse B-2-A01,TF294265345829,,,,,,,A,19.36,{},,[],[],[],2025-09-28 13:39:07.702014,2025-09-28 18:39:07
42,TF-MEC-FAS-0042,Pepperl+Fuchs Fasteners 908,High-quality fasteners for industrial applications,Mechanical,Fasteners,Pepperl+Fuchs,PEP43935,4,GAL,371.95,148,FALSE,148,17,171,34,51,12,Tool Crib,Tool Crib-C12,TF373647450161,,,,,,,A,35.18,{},,[],[],[],2025-09-28 13:39:07.702028,2025-09-28 18:39:07
43,TF-MEC-FAS-0043,SMC Fasteners 834,High-quality fasteners for industrial applications,Mechanical,Fasteners,SMC,SMC99806,5,EA,249.7,39,FALSE,39,4,44,8,13,14,Maintenance Shop,Maintenance Shop-C05,TF218327455709,,,,,,,C,9.83,{},,[],[],[],2025-09-28 13:39:07.702040,2025-09-28 18:39:07
44,TF-MEC-FAS-0044,Keyence Fasteners 746,High-quality fasteners for industrial applications,Mechanical,Fasteners,Keyence,KEY34096,3,BOX,188.17,12,FALSE,12,3,39,7,11,10,Tool Crib,Tool Crib-B16,TF334596595645,,,,,,,B,7.21,{},,[],[],[],2025-09-28 13:39:07.702052,2025-09-28 18:39:07
45,TF-MEC-FAS-0045,Phoenix Contact Fasteners 777,High-quality fasteners for industrial applications,Mechanical,Fasteners,Phoenix Contact,PHO48164,2,LB,400.29,18,FALSE,18,3,32,6,9,15,Warehouse A-1,Warehouse A-1-B12,TF399065092989,,,,,,,B,24.9,{},,[],[],[],2025-09-28 13:39:07.702063,2025-09-28 18:39:07
46,TF-MEC-COU-0046,Parker Hannifin Couplings 813,High-quality couplings for industrial applications,Mechanical,Couplings,Parker Hannifin,PAR49427,5,LB,498.59,26,FALSE,26,4,45,9,13,14,Warehouse B-1,Warehouse B-1-C07,TF534705913455,,,,,,,C,35.23,{},,[],[],[],2025-09-28 13:39:07.702075,2025-09-28 18:39:07
47,TF-MEC-COU-0047,ABB Couplings 979,High-quality couplings for industrial applications,Mechanical,Couplings,ABB,ABB55724,TRUE,GAL,195.47,37,FALSE,37,4,47,9,14,3,Electronics Lab,Electronics Lab-A17,TF443316527950,,,,,,,C,47.78,{},,[],[],[],2025-09-28 13:39:07.702087,2025-09-28 18:39:07
48,TF-MEC-COU-0048,SMC Couplings 365,High-quality couplings for industrial applications,Mechanical,Couplings,SMC,SMC11184,2,GAL,377.62,26,FALSE,26,12,127,25,38,9,Warehouse B-1,Warehouse B-1-A02,TF375225630346,,,,,,,C,7.44,{},,[],[],[],2025-09-28 13:39:07.702098,2025-09-28 18:39:07
49,TF-MEC-COU-0049,Bosch Rexroth Couplings 895,High-quality couplings for industrial applications,Mechanical,Couplings,Bosch Rexroth,BOS72873,TRUE,GAL,499.68,50,FALSE,50,15,152,30,45,5,Warehouse B-1,Warehouse B-1-B19,TF652581083335,,,,,,,B,15.08,{},,[],[],[],2025-09-28 13:39:07.702110,2025-09-28 18:39:07
50,TF-MEC-COU-0050,Johnson Controls Couplings 346,High-quality couplings for industrial applications,Mechanical,Couplings,Johnson Controls,JOH27559,5,EA,174.67,16,FALSE,16,9,93,18,27,15,Warehouse B-2,Warehouse B-2-C07,TF542947273927,,,,,,,A,6.15,{},,[],[],[],2025-09-28 13:39:07.702121,2025-09-28 18:39:07
51,TF-MEC-COU-0051,Honeywell Couplings 627,High-quality couplings for industrial applications,Mechanical,Couplings,Honeywell,HON45324,TRUE,EA,361.16,32,FALSE,32,14,143,28,42,3,Chemical Storage,Chemical Storage-A03,TF375005448714,,,,,,,C,16.09,{},,[],[],[],2025-09-28 13:39:07.702133,2025-09-28 18:39:07
52,TF-MEC-COU-0052,Schneider Electric Couplings 352,High-quality couplings for industrial applications,Mechanical,Couplings,Schneider Electric,SCH52425,3,LB,374.29,21,FALSE,21,4,48,9,14,14,Warehouse B-1,Warehouse B-1-A11,TF458666194491,,,,,,,C,24.7,{},,[],[],[],2025-09-28 13:39:07.702145,2025-09-28 18:39:07
53,TF-MEC-COU-0053,Parker Hannifin Couplings 174,High-quality couplings for industrial applications,Mechanical,Couplings,Parker Hannifin,PAR89822,TRUE,GAL,289.67,33,FALSE,33,8,80,16,24,9,Warehouse A-1,Warehouse A-1-C14,TF946242032531,,,,,,,B,31.96,{},,[],[],[],2025-09-28 13:39:07.702156,2025-09-28 18:39:07
54,TF-MEC-BUS-0054,Festo Bushings 195,High-quality bushings for industrial applications,Mechanical,Bushings,Festo,FES68886,2,FT,420.79,8,FALSE,8,4,43,8,12,9,Maintenance Shop,Maintenance Shop-A10,TF695377961440,,,,,,,C,15.7,{},,[],[],[],2025-09-28 13:39:07.702168,2025-09-28 18:39:07
55,TF-MEC-BUS-0055,Johnson Controls Bushings 914,High-quality bushings for industrial applications,Mechanical,Bushings,Johnson Controls,JOH63811,2,GAL,121.47,67,FALSE,67,17,174,34,52,19,Warehouse A-1,Warehouse A-1-A09,TF704248624437,,,,,,,C,14.57,{},,[],[],[],2025-09-28 13:39:07.702180,2025-09-28 18:39:07
56,TF-MEC-BUS-0056,Bosch Rexroth Bushings 557,High-quality bushings for industrial applications,Mechanical,Bushings,Bosch Rexroth,BOS17663,2,GAL,42.48,78,FALSE,78,10,108,21,32,15,Warehouse B-1,Warehouse B-1-C06,TF831860819041,,,,,,,B,16.69,{},,[],[],[],2025-09-28 13:39:07.702191,2025-09-28 18:39:07
57,TF-MEC-BUS-0057,Festo Bushings 616,High-quality bushings for industrial applications,Mechanical,Bushings,Festo,FES92832,3,LB,481.36,20,FALSE,20,10,102,20,30,19,Chemical Storage,Chemical Storage-B15,TF459370667113,,,,,,,B,39.22,{},,[],[],[],2025-09-28 13:39:07.702203,2025-09-28 18:39:07
58,TF-MEC-BUS-0058,Johnson Controls Bushings 516,High-quality bushings for industrial applications,Mechanical,Bushings,Johnson Controls,JOH56060,3,BOX,19.29,185,FALSE,185,19,198,39,59,7,Warehouse A-2,Warehouse A-2-C07,TF718644029043,,,,,,,B,35.57,{},,[],[],[],2025-09-28 13:39:07.702215,2025-09-28 18:39:07
59,TF-MEC-BUS-0059,Keyence Bushings 316,High-quality bushings for industrial applications,Mechanical,Bushings,Keyence,KEY79192,4,GAL,299.28,114,FALSE,114,12,124,24,37,21,Warehouse A-2,Warehouse A-2-C07,TF756653656395,,,,,,,C,41.39,{},,[],[],[],2025-09-28 13:39:07.702226,2025-09-28 18:39:07
60,TF-MEC-BUS-0060,Johnson Controls Bushings 776,High-quality bushings for industrial applications,Mechanical,Bushings,Johnson Controls,JOH89600,3,BOX,156.37,69,FALSE,69,10,103,20,30,11,Tool Crib,Tool Crib-A02,TF445036707170,,,,,,,C,21.77,{},,[],[],[],2025-09-28 13:39:07.702237,2025-09-28 18:39:07
61,TF-MEC-PUL-0061,Schneider Electric Pulleys 348,High-quality pulleys for industrial applications,Mechanical,Pulleys,Schneider Electric,SCH93653,TRUE,BOX,54.13,17,FALSE,17,5,52,10,15,14,Warehouse A-2,Warehouse A-2-A05,TF235437572626,,,,,,,B,38.93,{},,[],[],[],2025-09-28 13:39:07.702249,2025-09-28 18:39:07
62,TF-MEC-PUL-0062,Johnson Controls Pulleys 460,High-quality pulleys for industrial applications,Mechanical,Pulleys,Johnson Controls,JOH60725,5,EA,249.79,61,FALSE,61,14,140,28,42,4,Electronics Lab,Electronics Lab-B20,TF882073031721,,,,,,,A,9.78,{},,[],[],[],2025-09-28 13:39:07.702260,2025-09-28 18:39:07
63,TF-MEC-PUL-0063,Festo Pulleys 645,High-quality pulleys for industrial applications,Mechanical,Pulleys,Festo,FES68342,2,BOX,192.63,50,FALSE,50,8,89,17,26,7,Chemical Storage,Chemical Storage-A03,TF554883051125,,,,,,,C,26.19,{},,[],[],[],2025-09-28 13:39:07.702272,2025-09-28 18:39:07
64,TF-MEC-PUL-0064,Omron Pulleys 457,High-quality pulleys for industrial applications,Mechanical,Pulleys,Omron,OMR36805,2,ROLL,132.46,34,FALSE,34,3,34,6,10,8,Chemical Storage,Chemical Storage-A01,TF923947227778,,,,,,,C,2.1,{},,[],[],[],2025-09-28 13:39:07.702283,2025-09-28 18:39:07
65,TF-MEC-CHA-0065,Parker Hannifin Chains 468,High-quality chains for industrial applications,Mechanical,Chains,Parker Hannifin,PAR65194,2,FT,52.33,35,FALSE,35,3,37,7,11,20,Tool Crib,Tool Crib-B16,TF961326788969,,,,,,,C,31.81,{},,[],[],[],2025-09-28 13:39:07.702295,2025-09-28 18:39:07
66,TF-MEC-CHA-0066,Phoenix Contact Chains 610,High-quality chains for industrial applications,Mechanical,Chains,Phoenix Contact,PHO69158,TRUE,ROLL,456.87,12,FALSE,12,7,79,15,23,11,Tool Crib,Tool Crib-C05,TF542039708267,,,,,,,C,44.42,{},,[],[],[],2025-09-28 13:39:07.702307,2025-09-28 18:39:07
67,TF-MEC-CHA-0067,Phoenix Contact Chains 257,High-quality chains for industrial applications,Mechanical,Chains,Phoenix Contact,PHO18064,4,GAL,172.74,51,FALSE,51,14,145,29,43,18,Warehouse B-1,Warehouse B-1-C04,TF744120247011,,,,,,,B,25.71,{},,[],[],[],2025-09-28 13:39:07.702319,2025-09-28 18:39:07
68,TF-MEC-CHA-0068,Allen-Bradley Chains 735,High-quality chains for industrial applications,Mechanical,Chains,Allen-Bradley,ALL34630,TRUE,LB,364.92,11,FALSE,11,2,24,4,7,20,Warehouse B-2,Warehouse B-2-A07,TF693700316694,,,,,,,C,35.08,{},,[],[],[],2025-09-28 13:39:07.702330,2025-09-28 18:39:07
69,TF-MEC-CHA-0069,Mitsubishi Chains 739,High-quality chains for industrial applications,Mechanical,Chains,Mitsubishi,MIT64237,TRUE,LB,444.65,75,FALSE,75,11,119,23,35,3,Chemical Storage,Chemical Storage-A20,TF994237990292,,,,,,,B,10,{},,[],[],[],2025-09-28 13:39:07.702341,2025-09-28 18:39:07
70,TF-ELE-MOT-0070,Omron Motors 260,High-quality motors for industrial applications,Electrical,Motors,Omron,OMR75184,3,FT,584.92,13,FALSE,13,5,56,11,16,15,Tool Crib,Tool Crib-C07,TF522566748664,,,,,,,C,6.55,{},,[],[],[],2025-09-28 13:39:07.702354,2025-09-28 18:39:07
71,TF-ELE-MOT-0071,Fanuc Motors 775,High-quality motors for industrial applications,Electrical,Motors,Fanuc,FAN36776,4,GAL,333.9,30,FALSE,30,7,73,14,21,6,Warehouse A-2,Warehouse A-2-C03,TF422283715576,,,,,,,B,41.56,{},,[],[],[],2025-09-28 13:39:07.702366,2025-09-28 18:39:07
72,TF-ELE-MOT-0072,Balluff Motors 837,High-quality motors for industrial applications,Electrical,Motors,Balluff,BAL21262,2,LB,530.36,74,FALSE,74,18,189,37,56,5,Maintenance Shop,Maintenance Shop-A11,TF971738274425,,,,,,,B,47.82,{},,[],[],[],2025-09-28 13:39:07.702377,2025-09-28 18:39:07
73,TF-ELE-MOT-0073,Johnson Controls Motors 695,High-quality motors for industrial applications,Electrical,Motors,Johnson Controls,JOH54599,2,BOX,966.97,56,FALSE,56,5,56,11,16,14,Electronics Lab,Electronics Lab-C09,TF301512548299,,,,,,,C,49.14,{},,[],[],[],2025-09-28 13:39:07.702389,2025-09-28 18:39:07
74,TF-ELE-MOT-0074,Allen-Bradley Motors 678,High-quality motors for industrial applications,Electrical,Motors,Allen-Bradley,ALL18751,3,GAL,50.47,140,FALSE,140,18,181,36,54,12,Electronics Lab,Electronics Lab-B09,TF893753412671,,,,,,,B,45.33,{},,[],[],[],2025-09-28 13:39:07.702400,2025-09-28 18:39:07
75,TF-ELE-MOT-0075,GE Motors 892,High-quality motors for industrial applications,Electrical,Motors,GE,GE78937,4,FT,194.48,79,FALSE,79,18,189,37,56,7,Warehouse B-2,Warehouse B-2-A06,TF463680707274,,,,,,,C,41.67,{},,[],[],[],2025-09-28 13:39:07.702412,2025-09-28 18:39:07
76,TF-ELE-MOT-0076,Mitsubishi Motors 419,High-quality motors for industrial applications,Electrical,Motors,Mitsubishi,MIT89811,TRUE,BOX,434.14,54,FALSE,54,10,104,20,31,11,Warehouse B-1,Warehouse B-1-B14,TF702278661813,,,,,,,C,20.98,{},,[],[],[],2025-09-28 13:39:07.702423,2025-09-28 18:39:07
77,TF-ELE-MOT-0077,ABB Motors 532,High-quality motors for industrial applications,Electrical,Motors,ABB,ABB44481,2,LB,353.62,33,FALSE,33,5,52,10,15,7,Electronics Lab,Electronics Lab-A12,TF984952958452,,,,,,,C,5,{},,[],[],[],2025-09-28 13:39:07.702434,2025-09-28 18:39:07
78,TF-ELE-SEN-0078,Omron Sensors 454,High-quality sensors for industrial applications,Electrical,Sensors,Omron,OMR23279,5,GAL,931.06,83,FALSE,83,17,174,34,52,9,Maintenance Shop,Maintenance Shop-B04,TF385000343646,,,,,,,C,7.82,{},,[],[],[],2025-09-28 13:39:07.702446,2025-09-28 18:39:07
