id,asset_tag,name,category,subcategory,location_id,parent_asset_id,manufacturer,model,serial_number,purchase_date,installation_date,warranty_expiry,purchase_cost,current_value,depreciation_rate,status,condition_rating,criticality,last_maintenance_date,next_maintenance_due,maintenance_frequency_days,operating_hours,max_operating_hours,energy_consumption,specifications,documentation_url,qr_code,iot_device_id,sensor_data,ai_health_score,failure_predictions,created_date,updated_date,created_by
11,TF-PRO-0011,SMC Reflow Oven SMC-911X,Production Equipment,Reflow Oven,94,,SMC,SMC-911X,SMC450155,2021-05-02 13:39:07.698110,2021-06-09 13:39:07.698110,2025-01-22 13:39:07.698110,458629,225995.92527947188,,Active,4,High,2025-09-24 13:39:07.698113,2025-11-23 13:39:07.698113,60,22112,44416,,"{""Power Rating"": ""19 kW"", ""Voltage"": ""240V"", ""Dimensions"": ""6m x 4m x 3m"", ""Weight"": ""4453 kg"", ""Production Rate"": ""516 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698118,2025-09-28 18:39:07,TRUE
12,TF-PRO-0012,GE Reflow Oven GE-308X,Production Equipment,Reflow Oven,155,,GE,GE-308X,GE748210,2022-10-17 13:39:07.698137,2022-11-11 13:39:07.698137,2027-01-14 13:39:07.698137,227340,125131.71275692976,,Active,4,High,2025-08-18 13:39:07.698140,2025-11-16 13:39:07.698140,90,24568,35339,,"{""Power Rating"": ""27 kW"", ""Voltage"": ""480V"", ""Dimensions"": ""7m x 2m x 2m"", ""Weight"": ""3527 kg"", ""Production Rate"": ""325 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698146,2025-09-28 18:39:07,TRUE
13,TF-PRO-0013,Mitsubishi Reflow Oven Mitsubishi-680A,Production Equipment,Reflow Oven,42,,Mitsubishi,Mitsubishi-680A,MIT276390,2018-11-22 13:39:07.698165,2018-12-10 13:39:07.698165,2020-04-17 13:39:07.698165,403289,171523.08004928238,,Active,3,High,2025-09-09 13:39:07.698168,2025-10-09 13:39:07.698168,30,20056,66550,,"{""Power Rating"": ""14 kW"", ""Voltage"": ""208V"", ""Dimensions"": ""4m x 1m x 2m"", ""Weight"": ""4693 kg"", ""Production Rate"": ""882 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698173,2025-09-28 18:39:07,TRUE
14,TF-PRO-0014,Bosch Rexroth Wave Solder Machine Bosch-629B,Production Equipment,Wave Solder Machine,47,,Bosch Rexroth,Bosch-629B,BOS529176,2019-01-11 13:39:07.698192,2019-03-07 13:39:07.698192,2022-01-20 13:39:07.698192,340304,174923.01679393786,,Active,5,High,2025-08-09 13:39:07.698195,2025-10-08 13:39:07.698195,60,28109,59054,,"{""Power Rating"": ""44 kW"", ""Voltage"": ""208V"", ""Dimensions"": ""2m x 2m x 3m"", ""Weight"": ""1842 kg"", ""Production Rate"": ""479 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698201,2025-09-28 18:39:07,TRUE
15,TF-PRO-0015,Keyence Test Equipment Keyence-894Pro,Production Equipment,Test Equipment,152,,Keyence,Keyence-894Pro,KEY176919,2022-06-11 13:39:07.698220,2022-07-15 13:39:07.698220,2026-01-30 13:39:07.698220,253912,142474.6191422967,,Active,3,High,2025-09-03 13:39:07.698223,2025-11-02 13:39:07.698223,60,27006,56296,,"{""Power Rating"": ""7 kW"", ""Voltage"": ""480V"", ""Dimensions"": ""2m x 1m x 2m"", ""Weight"": ""696 kg"", ""Production Rate"": ""840 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698229,2025-09-28 18:39:07,TRUE
16,TF-PRO-0016,Allen-Bradley Test Equipment Allen-Bradley-458X,Production Equipment,Test Equipment,75,,Allen-Bradley,Allen-Bradley-458X,ALL556708,2024-06-22 13:39:07.698247,2024-08-14 13:39:07.698247,2029-02-06 13:39:07.698247,212962,136269.20812190103,,Active,5,Critical,2025-05-31 13:39:07.698250,2025-11-27 13:39:07.698250,180,8323,44665,,"{""Power Rating"": ""26 kW"", ""Voltage"": ""240V"", ""Dimensions"": ""6m x 3m x 2m"", ""Weight"": ""1965 kg"", ""Production Rate"": ""538 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698256,2025-09-28 18:39:07,TRUE
17,TF-PRO-0017,Eaton Industrial Robot Eaton-525A,Production Equipment,Industrial Robot,94,,Eaton,Eaton-525A,EAT204429,2024-08-16 13:39:07.698275,2024-08-25 13:39:07.698275,2027-05-31 13:39:07.698275,200513,117620.5229832881,,Active,4,High,2025-09-04 13:39:07.698278,2025-11-03 13:39:07.698278,60,3684,50237,,"{""Power Rating"": ""42 kW"", ""Voltage"": ""208V"", ""Dimensions"": ""5m x 3m x 3m"", ""Weight"": ""725 kg"", ""Production Rate"": ""600 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698283,2025-09-28 18:39:07,TRUE
18,TF-PRO-0018,Parker Hannifin Industrial Robot Parker-313X,Production Equipment,Industrial Robot,56,,Parker Hannifin,Parker-313X,PAR186285,2023-10-04 13:39:07.698303,2023-11-05 13:39:07.698303,2027-06-23 13:39:07.698303,443671,257905.1617416098,,Active,3,High,2025-07-21 13:39:07.698306,2026-07-21 13:39:07.698306,365,13304,57983,,"{""Power Rating"": ""37 kW"", ""Voltage"": ""480V"", ""Dimensions"": ""3m x 4m x 3m"", ""Weight"": ""2058 kg"", ""Production Rate"": ""740 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698311,2025-09-28 18:39:07,TRUE
19,TF-PRO-0019,Balluff Industrial Robot Balluff-699Pro,Production Equipment,Industrial Robot,35,,Balluff,Balluff-699Pro,BAL654957,2020-09-02 13:39:07.698330,2020-09-10 13:39:07.698330,2023-11-13 13:39:07.698330,436332,318953.56413020444,,Active,3,Critical,2025-09-24 13:39:07.698333,2025-12-23 13:39:07.698333,90,27660,69985,,"{""Power Rating"": ""19 kW"", ""Voltage"": ""208V"", ""Dimensions"": ""8m x 3m x 3m"", ""Weight"": ""1459 kg"", ""Production Rate"": ""717 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698338,2025-09-28 18:39:07,TRUE
20,TF-PRO-0020,Parker Hannifin Conveyor System Parker-491B,Production Equipment,Conveyor System,16,,Parker Hannifin,Parker-491B,PAR695490,2024-06-15 13:39:07.698357,2024-08-11 13:39:07.698357,2027-03-24 13:39:07.698357,70645,55945.69874489592,,Active,4,High,2025-03-09 13:39:07.698360,2026-03-09 13:39:07.698360,365,5497,33672,,"{""Power Rating"": ""35 kW"", ""Voltage"": ""480V"", ""Dimensions"": ""7m x 2m x 2m"", ""Weight"": ""3365 kg"", ""Production Rate"": ""684 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698365,2025-09-28 18:39:07,TRUE
21,TF-PRO-0021,GE Conveyor System GE-725Pro,Production Equipment,Conveyor System,125,,GE,GE-725Pro,GE117499,2021-10-31 13:39:07.698384,2021-11-08 13:39:07.698384,2025-02-17 13:39:07.698384,138693,62825.89218062635,,Active,3,Critical,2025-09-13 13:39:07.698387,2025-10-13 13:39:07.698387,30,12012,42717,,"{""Power Rating"": ""10 kW"", ""Voltage"": ""208V"", ""Dimensions"": ""5m x 4m x 2m"", ""Weight"": ""4419 kg"", ""Production Rate"": ""304 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698392,2025-09-28 18:39:07,TRUE
22,TF-PRO-0022,Allen-Bradley Conveyor System Allen-Bradley-645B,Production Equipment,Conveyor System,84,,Allen-Bradley,Allen-Bradley-645B,ALL219762,2020-02-07 13:39:07.698411,2020-02-24 13:39:07.698411,2024-12-02 13:39:07.698411,301874,181970.5161107371,,Active,5,High,2025-08-16 13:39:07.698414,2025-11-14 13:39:07.698414,90,37268,62168,,"{""Power Rating"": ""27 kW"", ""Voltage"": ""480V"", ""Dimensions"": ""4m x 4m x 2m"", ""Weight"": ""1188 kg"", ""Production Rate"": ""132 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698419,2025-09-28 18:39:07,TRUE
23,TF-PRO-0023,Honeywell Packaging Equipment Honeywell-358A,Production Equipment,Packaging Equipment,47,,Honeywell,Honeywell-358A,HON580307,2020-11-12 13:39:07.698447,2020-12-04 13:39:07.698447,2022-11-08 13:39:07.698447,175486,134470.7661027305,,Active,4,High,2025-07-12 13:39:07.698450,2026-01-08 13:39:07.698450,180,30268,41688,,"{""Power Rating"": ""26 kW"", ""Voltage"": ""208V"", ""Dimensions"": ""3m x 3m x 2m"", ""Weight"": ""4244 kg"", ""Production Rate"": ""188 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698455,2025-09-28 18:39:07,TRUE
24,TF-PRO-0024,Omron Packaging Equipment Omron-530A,Production Equipment,Packaging Equipment,117,,Omron,Omron-530A,OMR132897,2023-08-01 13:39:07.698474,2023-08-23 13:39:07.698474,2024-08-11 13:39:07.698474,216309,127709.99502199437,,Active,5,Critical,2025-09-26 13:39:07.698476,2026-03-25 13:39:07.698476,180,10674,32541,,"{""Power Rating"": ""25 kW"", ""Voltage"": ""240V"", ""Dimensions"": ""5m x 2m x 2m"", ""Weight"": ""1753 kg"", ""Production Rate"": ""260 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698482,2025-09-28 18:39:07,TRUE
25,TF-PRO-0025,Balluff Quality Scanner Balluff-150X,Production Equipment,Quality Scanner,80,,Balluff,Balluff-150X,BAL848297,2021-09-25 13:39:07.698501,2021-11-22 13:39:07.698501,2026-05-28 13:39:07.698501,125050,90165.00137220565,,Active,5,High,2025-08-26 13:39:07.698504,2025-10-25 13:39:07.698504,60,25825,45745,,"{""Power Rating"": ""48 kW"", ""Voltage"": ""240V"", ""Dimensions"": ""2m x 3m x 3m"", ""Weight"": ""1831 kg"", ""Production Rate"": ""795 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698510,2025-09-28 18:39:07,TRUE
26,TF-PRO-0026,Fanuc Quality Scanner Fanuc-195X,Production Equipment,Quality Scanner,97,,Fanuc,Fanuc-195X,FAN806380,2021-07-31 13:39:07.698529,2021-08-22 13:39:07.698529,2025-02-18 13:39:07.698529,312089,200786.19645594162,,Active,5,Critical,2025-09-01 13:39:07.698531,2025-10-01 13:39:07.698531,30,27061,41833,,"{""Power Rating"": ""36 kW"", ""Voltage"": ""240V"", ""Dimensions"": ""5m x 3m x 3m"", ""Weight"": ""3691 kg"", ""Production Rate"": ""946 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698537,2025-09-28 18:39:07,TRUE
27,TF-PRO-0027,Bosch Rexroth Quality Scanner Bosch-575X,Production Equipment,Quality Scanner,15,,Bosch Rexroth,Bosch-575X,BOS164737,2022-05-08 13:39:07.698556,2022-06-23 13:39:07.698556,2023-12-23 13:39:07.698556,418906,170488.3804997892,,Active,4,Critical,2025-08-23 13:39:07.698559,2025-10-22 13:39:07.698559,60,24284,71254,,"{""Power Rating"": ""22 kW"", ""Voltage"": ""240V"", ""Dimensions"": ""2m x 2m x 3m"", ""Weight"": ""633 kg"", ""Production Rate"": ""772 units/hour""}",,,,{},TRUE,{},2025-09-28 13:39:07.698564,2025-09-28 18:39:07,TRUE
28,TF-HVA-0028,Bosch Rexroth Air Handler Bosch-590A,HVAC Systems,Air Handler,21,,Bosch Rexroth,Bosch-590A,BOS336917,2021-04-25 13:39:07.698589,2021-05-15 13:39:07.698589,2023-03-01 13:39:07.698589,79979,62525.40088546883,,Active,3,Medium,2025-05-16 13:39:07.698593,2025-11-12 13:39:07.698593,180,17144,39868,,"{""Capacity"": ""99 tons"", ""Efficiency"": ""17.6 SEER"", ""Refrigerant"": ""R-410A"", ""Power"": ""9 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698599,2025-09-28 18:39:07,TRUE
29,TF-HVA-0029,Allen-Bradley Air Handler Allen-Bradley-132A,HVAC Systems,Air Handler,15,,Allen-Bradley,Allen-Bradley-132A,ALL128136,2021-01-22 13:39:07.698618,2021-03-04 13:39:07.698618,2025-12-11 13:39:07.698618,41382,22455.33783286622,,Active,3,Medium,2025-07-14 13:39:07.698621,2025-10-12 13:39:07.698621,90,35026,54129,,"{""Capacity"": ""64 tons"", ""Efficiency"": ""17.4 SEER"", ""Refrigerant"": ""R-404A"", ""Power"": ""8 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698626,2025-09-28 18:39:07,TRUE
30,TF-HVA-0030,Johnson Controls Chiller Johnson-348X,HVAC Systems,Chiller,144,,Johnson Controls,Johnson-348X,JOH426898,2022-05-11 13:39:07.698648,2022-06-22 13:39:07.698648,2024-06-15 13:39:07.698648,11300,7802.829864551065,,Active,4,Medium,2024-11-29 13:39:07.698651,2025-11-29 13:39:07.698651,365,12371,39586,,"{""Capacity"": ""82 tons"", ""Efficiency"": ""14.0 SEER"", ""Refrigerant"": ""R-410A"", ""Power"": ""7 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698656,2025-09-28 18:39:07,TRUE
31,TF-HVA-0031,Siemens Chiller Siemens-115X,HVAC Systems,Chiller,94,,Siemens,Siemens-115X,SIE214918,2024-03-31 13:39:07.698674,2024-05-28 13:39:07.698674,2027-07-09 13:39:07.698674,48322,33445.91062131881,,Active,5,High,2025-09-06 13:39:07.698677,2026-03-05 13:39:07.698677,180,9623,27551,,"{""Capacity"": ""91 tons"", ""Efficiency"": ""14.5 SEER"", ""Refrigerant"": ""R-410A"", ""Power"": ""22 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698682,2025-09-28 18:39:07,TRUE
32,TF-HVA-0032,Pepperl+Fuchs Cooling Tower Pepperl+Fuchs-948X,HVAC Systems,Cooling Tower,19,,Pepperl+Fuchs,Pepperl+Fuchs-948X,PEP707667,2022-04-25 13:39:07.698700,2022-05-05 13:39:07.698700,2026-06-28 13:39:07.698700,91799,68910.00177470915,,Active,3,Medium,2025-09-10 13:39:07.698703,2025-10-10 13:39:07.698703,30,27398,39123,,"{""Capacity"": ""11 tons"", ""Efficiency"": ""12.7 SEER"", ""Refrigerant"": ""R-134a"", ""Power"": ""8 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698708,2025-09-28 18:39:07,TRUE
33,TF-HVA-0033,Phoenix Contact Boiler Phoenix-413B,HVAC Systems,Boiler,140,,Phoenix Contact,Phoenix-413B,PHO589402,2019-12-16 13:39:07.698727,2020-01-12 13:39:07.698727,2021-02-18 13:39:07.698727,36635,25256.696265039183,,Active,4,Medium,2025-08-10 13:39:07.698730,2026-02-06 13:39:07.698730,180,42482,64818,,"{""Capacity"": ""13 tons"", ""Efficiency"": ""17.3 SEER"", ""Refrigerant"": ""R-134a"", ""Power"": ""6 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698735,2025-09-28 18:39:07,TRUE
34,TF-HVA-0034,Phoenix Contact Heat Pump Phoenix-209Pro,HVAC Systems,Heat Pump,100,,Phoenix Contact,Phoenix-209Pro,PHO786847,2021-09-30 13:39:07.698753,2021-10-12 13:39:07.698753,2024-07-17 13:39:07.698753,53187,35120.91353145053,,Active,3,High,2025-08-14 13:39:07.698756,2025-10-13 13:39:07.698756,60,31222,73629,,"{""Capacity"": ""67 tons"", ""Efficiency"": ""12.5 SEER"", ""Refrigerant"": ""R-410A"", ""Power"": ""23 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698762,2025-09-28 18:39:07,TRUE
35,TF-HVA-0035,Cognex Exhaust Fan Cognex-255A,HVAC Systems,Exhaust Fan,27,,Cognex,Cognex-255A,COG604151,2021-01-05 13:39:07.698780,2021-02-18 13:39:07.698780,2024-09-29 13:39:07.698780,60722,35223.06072533805,,Active,4,High,2025-09-19 13:39:07.698783,2025-12-18 13:39:07.698783,90,26801,67196,,"{""Capacity"": ""59 tons"", ""Efficiency"": ""12.2 SEER"", ""Refrigerant"": ""R-404A"", ""Power"": ""14 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698788,2025-09-28 18:39:07,TRUE
36,TF-HVA-0036,Keyence Exhaust Fan Keyence-335A,HVAC Systems,Exhaust Fan,114,,Keyence,Keyence-335A,KEY404655,2021-05-16 13:39:07.698806,2021-07-15 13:39:07.698806,2023-08-21 13:39:07.698806,92132,49499.50213339262,,Active,5,Medium,2025-03-02 13:39:07.698808,2026-03-02 13:39:07.698808,365,19419,60414,,"{""Capacity"": ""27 tons"", ""Efficiency"": ""19.9 SEER"", ""Refrigerant"": ""R-134a"", ""Power"": ""18 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698814,2025-09-28 18:39:07,TRUE
37,TF-HVA-0037,Omron Air Compressor Omron-347X,HVAC Systems,Air Compressor,56,,Omron,Omron-347X,OMR212612,2023-08-14 13:39:07.698832,2023-09-17 13:39:07.698832,2024-09-05 13:39:07.698832,29223,15722.659989899097,,Active,3,High,2025-08-06 13:39:07.698835,2025-11-04 13:39:07.698835,90,9293,54025,,"{""Capacity"": ""98 tons"", ""Efficiency"": ""19.6 SEER"", ""Refrigerant"": ""R-410A"", ""Power"": ""13 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698840,2025-09-28 18:39:07,TRUE
38,TF-HVA-0038,ABB Air Compressor ABB-237X,HVAC Systems,Air Compressor,50,,ABB,ABB-237X,ABB390343,2019-04-21 13:39:07.698858,2019-04-30 13:39:07.698858,2023-04-21 13:39:07.698858,15534,7252.542930266199,,Active,5,High,2025-08-13 13:39:07.698861,2025-11-11 13:39:07.698861,90,38040,70348,,"{""Capacity"": ""27 tons"", ""Efficiency"": ""16.3 SEER"", ""Refrigerant"": ""R-410A"", ""Power"": ""21 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698866,2025-09-28 18:39:07,TRUE
39,TF-HVA-0039,Festo Dehumidifier Festo-469Pro,HVAC Systems,Dehumidifier,88,,Festo,Festo-469Pro,FES372340,2021-04-01 13:39:07.698884,2021-04-16 13:39:07.698884,2024-02-16 13:39:07.698884,84285,55852.54783872098,,Active,4,High,2025-09-21 13:39:07.698888,2025-10-21 13:39:07.698888,30,18116,34435,,"{""Capacity"": ""37 tons"", ""Efficiency"": ""20.0 SEER"", ""Refrigerant"": ""R-404A"", ""Power"": ""10 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698893,2025-09-28 18:39:07,TRUE
40,TF-HVA-0040,Cognex Dehumidifier Cognex-938X,HVAC Systems,Dehumidifier,71,,Cognex,Cognex-938X,COG339619,2021-03-03 13:39:07.698911,2021-04-14 13:39:07.698911,2023-03-03 13:39:07.698911,66692,40199.52192586324,,Active,5,Medium,2025-07-24 13:39:07.698914,2026-07-24 13:39:07.698914,365,34562,54645,,"{""Capacity"": ""50 tons"", ""Efficiency"": ""19.1 SEER"", ""Refrigerant"": ""R-404A"", ""Power"": ""14 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698919,2025-09-28 18:39:07,TRUE
41,TF-HVA-0041,Fanuc Air Filtration System Fanuc-193B,HVAC Systems,Air Filtration System,102,,Fanuc,Fanuc-193B,FAN274808,2024-03-16 13:39:07.698937,2024-05-05 13:39:07.698937,2027-10-06 13:39:07.698937,82292,48661.93859441226,,Active,4,Medium,2025-06-01 13:39:07.698940,2026-06-01 13:39:07.698940,365,8890,31588,,"{""Capacity"": ""55 tons"", ""Efficiency"": ""14.1 SEER"", ""Refrigerant"": ""R-404A"", ""Power"": ""16 kW""}",,,,{},TRUE,{},2025-09-28 13:39:07.698945,2025-09-28 18:39:07,TRUE
42,TF-ELE-0042,SMC Main Electrical Panel SMC-981B,Electrical Systems,Main Electrical Panel,11,,SMC,SMC-981B,SMC832499,2023-01-06 13:39:07.698964,2023-02-27 13:39:07.698964,2026-03-15 13:39:07.698964,51548,24866.542249816197,,Active,4,Critical,2025-09-03 13:39:07.698967,2025-10-03 13:39:07.698967,30,19585,31066,,"{""Voltage"": ""480V"", ""Current"": ""589 A"", ""Power"": ""198 kW"", ""Protection"": ""IP65""}",,,,{},TRUE,{},2025-09-28 13:39:07.698972,2025-09-28 18:39:07,TRUE
43,TF-ELE-0043,Emerson Main Electrical Panel Emerson-755X,Electrical Systems,Main Electrical Panel,97,,Emerson,Emerson-755X,EME198981,2021-10-18 13:39:07.698992,2021-12-14 13:39:07.698992,2026-05-01 13:39:07.698992,14170,10491.837855454312,,Active,4,High,2025-07-27 13:39:07.698995,2026-01-23 13:39:07.698995,180,26712,67556,,"{""Voltage"": ""208V"", ""Current"": ""865 A"", ""Power"": ""194 kW"", ""Protection"": ""IP54""}",,,,{},TRUE,{},2025-09-28 13:39:07.699000,2025-09-28 18:39:07,TRUE
